,ra,dec,psfmag_i,mjd_i,run
4.07518774,14.65894466,0.73959029,21.477007,5.43653463E4,6982
4.05023017,14.65896674,0.73955466,21.39455,5.44032763E4,7106
4.56747778,14.65878949,0.7396197,21.292032,5.40003224E4,6383
4.85671877,14.65869806,0.73964605,21.296057,5.40253595E4,6461
4.25474223,14.65889614,0.73957749,21.374397,5.43863581E4,7054
4.10775058,14.65894764,0.73955875,21.462946,5.44212746E4,7170
9.45497705,14.65752503,0.73912055,21.434248,5.22532254E4,2768
16.81664956,14.6564825,0.74307412,21.262138,5.36373104E4,5633
16.85542793,14.65645929,0.74306386,21.249277,5.36663688E4,5765
16.81592378,14.65647453,0.74306467,21.209845,5.36682882E4,5770
16.76960465,14.65650642,0.74308156,21.39628,5.36702928E4,5781
9.48343171,14.6574951,0.73918392,21.429779,5.37042509E4,5918
9.87990835,14.6573376,0.7393332,21.005239,5.40582733E4,6577
10.09229914,14.65726115,0.73940075,21.18018,5.4433274E4,7202
16.83611163,14.65650265,0.74310518,21.37093,5.36732609E4,5792
16.90182872,14.65646872,0.74309431,21.231493,5.36772789E4,5813
16.73827532,14.65648874,0.74304814,21.32703,5.37042509E4,5918
16.74627186,14.65651227,0.74307839,21.215672,5.39893466E4,6314
16.60462937,14.65655293,0.74306495,21.180988,5.39953615E4,6362
16.63109689,14.65653791,0.74305908,21.370155,5.40003224E4,6383
16.6603587,14.65650781,0.74303709,21.300842,5.40073723E4,6414
16.6175915,14.65657521,0.74309519,21.204296,5.40092963E4,6421
16.58425039,14.65654737,0.74305014,21.414116,5.40113605E4,6430
10.91610779,14.65714807,0.73896927,21.275114,5.40253595E4,6461
16.31366575,14.65659244,0.74298759,21.038984,5.40253595E4,6461
16.63787934,14.65653666,0.74306052,21.402315,5.402929E4,6474
16.6485755,14.65653084,0.74305842,21.240992,5.4031277E4,6484
16.52974653,14.65655647,0.74303758,21.385937,5.40392797E4,6513
16.67761097,14.65651985,0.74305814,21.397635,5.40412504E4,6524
16.57506935,14.65654993,0.74304918,21.36269,5.40482743E4,6533
25.25203159,14.66216292,0.73332729,21.302145,5.10753398E4,94
18.78968821,14.65593155,0.74326989,21.436058,5.10753398E4,94
25.24533457,14.66214738,0.73332422,21.442659,5.21963589E4,2650
17.86099521,14.65618297,0.74316987,21.202459,5.21963589E4,2650
25.59406736,14.6576006,0.73330759,12.504347,5.21973531E4,2662
25.36677724,14.66213707,0.73328551,21.479963,5.21973531E4,2662
18.02712995,14.65617273,0.74322953,21.43737,5.21973531E4,2662
25.65457102,14.65757328,0.73329957,12.573577,5.22073254E4,2677
25.54608052,14.65778292,0.73325905,18.459557,5.22073254E4,2677
25.11935165,14.66209388,0.73334393,21.288479,5.22252034E4,2708
17.95803883,14.6561569,0.74318066,21.204023,5.22252034E4,2708
25.65126643,14.65757827,0.73329874,12.51644,5.22312394E4,2728
17.91118594,14.65618342,0.74319218,21.364094,5.22312394E4,2728
25.34262353,14.66221688,0.7333185,21.290403,5.22532254E4,2768
16.70252283,14.65652417,0.7430735,20.988836,5.40522786E4,6552
16.47913035,14.65656922,0.74303077,21.386993,5.4060295E4,6584
16.68626443,14.65651655,0.74305803,21.282318,5.40632636E4,6600
16.41271959,14.65661999,0.74305986,21.26585,5.43483573E4,6934
16.45390549,14.6566101,0.74306598,21.379297,5.43653463E4,6982
16.51307692,14.65657573,0.7430523,21.404816,5.4381366E4,7034
16.40071612,14.65661489,0.74304924,21.245861,5.43843725E4,7047
16.3360122,14.65662324,0.74303164,21.329264,5.43863581E4,7054
16.3800006,14.65659755,0.74302123,21.235241,5.43933481E4,7080
16.20358832,14.65662947,0.74298336,21.318069,5.43962293E4,7095
16.37186054,14.65660006,0.74302064,21.139668,5.44032763E4,7106
16.43168896,14.65659435,0.74303922,21.41128,5.44043336E4,7112
16.34070975,14.65662653,0.74303726,21.277437,5.44053316E4,7117
16.42900381,14.65660653,0.7430517,21.215462,5.440627E4,7121
16.36256727,14.65661849,0.7430374,21.257517,5.44122731E4,7140
16.25887876,14.65663597,0.74301375,21.321463,5.44162688E4,7155
16.26723019,14.65663963,0.74302129,21.08596,5.44212746E4,7170
16.14238883,14.65666713,0.74300001,21.243082,5.44232511E4,7177
17.88736358,14.65615875,0.74315204,21.160213,5.22532254E4,2768
25.5570482,14.65757382,0.73332819,12.513917,5.25573473E4,3384
25.0272709,14.66209179,0.73337009,21.364567,5.25573473E4,3384
17.68144357,14.6562424,0.74316319,21.396303,5.25573473E4,3384
25.08708612,14.66207998,0.73334896,21.422493,5.25782433E4,3437
17.61344222,14.65627012,0.74316671,21.452219,5.25782433E4,3437
25.64496432,14.65759495,0.7332946,12.510299,5.29083219E4,4128
24.85952256,14.6620397,0.73340264,21.481895,5.29083219E4,4128
17.47746711,14.65630786,0.74315277,21.450203,5.29083219E4,4128
25.55114202,14.65760876,0.73331734,12.593897,5.29342539E4,4198
24.97220761,14.66206861,0.73337884,21.095249,5.29342539E4,4198
17.31965723,14.6563284,0.74310926,21.314928,5.29342539E4,4198
25.6301624,14.65760297,0.7332961,12.515031,5.29362496E4,4207
24.95925545,14.66202429,0.73336892,21.49054,5.29362496E4,4207
17.38297225,14.65633439,0.74314339,21.346819,5.29362496E4,4207
25.70666934,14.657608,0.73327174,13.910939,5.32703136E4,4849
24.85195056,14.66208391,0.73341867,21.392525,5.32703136E4,4849
17.03650262,14.65642368,0.74309957,21.276268,5.32703136E4,4849
25.61135745,14.65760948,0.73329932,12.497989,5.32723636E4,4858
17.19080964,14.65639219,0.74312868,21.333946,5.32723636E4,4858
25.67546027,14.65759725,0.73328478,12.949742,5.32863325E4,4868
25.67955865,14.65759419,0.73328467,12.514621,5.3288291E4,4874
25.0149609,14.6620517,0.73336115,21.221745,5.3288291E4,4874
17.2777641,14.6563826,0.74315446,21.42285,5.3288291E4,4874
25.67597536,14.6576098,0.73328015,12.477735,5.32943386E4,4895
25.01822089,14.66197136,0.73333591,21.273886,5.32943386E4,4895
17.17398801,14.65639158,0.74312084,21.24708,5.32943386E4,4895
25.68201156,14.65760707,0.73327934,12.514431,5.32962855E4,4899
25.15339641,14.66207334,0.7333276,20.766325,5.32962855E4,4899
17.16183788,14.65637971,0.74310188,21.474613,5.32962855E4,4899
25.67968516,14.6575951,0.7332843,12.509745,5.33022865E4,4917
25.44671439,14.65783722,0.73327042,17.561491,5.33022865E4,4917
17.13765077,14.65642133,0.74313962,21.341084,5.33022865E4,4917
25.18109265,14.6620671,0.73331761,21.172722,5.33122422E4,4927
17.15286312,14.6564197,0.74314417,21.149494,5.33122422E4,4927
25.67517878,14.65759401,0.73328602,12.478822,5.33142435E4,4933
24.95443103,14.66214624,0.73340879,21.198095,5.33142435E4,4933
17.07724793,14.65644659,0.74314292,21.405355,5.33142435E4,4933
24.97672976,14.66201788,0.7333619,21.153021,5.36163475E4,5566
25.69401861,14.65757588,0.73328698,12.540144,5.36263241E4,5603
24.87034088,14.66205573,0.73340447,21.453997,5.36263241E4,5603
25.66078643,14.65758339,0.73329408,12.520115,5.36283091E4,5610
25.24859913,14.66209298,0.73330602,21.365202,5.36283091E4,5610
17.07534956,14.65643397,0.74312779,21.342972,5.36283091E4,5610
25.70745018,14.65757578,0.73328305,12.508978,5.36353174E4,5622
17.02607654,14.65643769,0.74311126,21.25807,5.36353174E4,5622
25.69411567,14.65759881,0.73327872,12.548817,5.36373104E4,5633
25.21107485,14.66208764,0.73331527,21.162605,5.36373104E4,5633
16.95707398,14.65644724,0.74309304,21.366543,5.36393561E4,5642
25.6993892,14.65757569,0.73328546,12.505791,5.36543378E4,5709
24.94374821,14.66207336,0.73338861,21.407854,5.36543378E4,5709
16.94445484,14.65645608,0.74309785,21.245207,5.36543378E4,5709
25.16273726,14.66220647,0.73336769,21.091761,5.36632987E4,5744
16.93250239,14.65645051,0.7430864,21.245039,5.36632987E4,5744
16.93740339,14.65643408,0.7430695,21.407585,5.36652766E4,5759
25.28522799,14.66222226,0.73333709,21.176693,5.36682882E4,5770
